12.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
12.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
12.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
23.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
3.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
3.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
4.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
45.0
Minimo: 3.0
Maximo: 45.0
Media: 14.25
Varianza: 174.4375
Desviacion: 13.20747894187229
Mediana: 12.0
